replication,cohort,scenario,planned,reason,winner,winner_category,false_acceptances,invalid_attempts,gini,hhi,top1_share,effective_miners,rank_stability_tau_b,validator_disagreement_tv,hardware_pair_tau_b,honest_weight,gaming_weight,sybil_weight,safe_no_update,strategy_evaluations,duplicate_cache_hits,trial_pairs,injected_false_claims,accepted_injected_false_claims,sybil_strategy_allocation_gain,behavior_equivalent_replica_allocation_gain
0,0,honest,True,,aggregate-advisor,honest,0,96,0.1588171688762501,0.12134633726130212,0.15130260757769612,8.240875024077916,0.4290201599558712,0.08480103070031259,,0.777402982798394,0.0,0.222597017201606,False,456,24,4510,0,0,0.0,0.0
1,0,fast-worker,True,,aggregate-advisor,honest,0,96,0.15881716887625016,0.12134633726130215,0.15130260757769615,8.240875024077914,0.4290201599558712,0.08480103070031263,1.0,0.7774029827983939,0.0,0.22259701720160596,False,456,24,4510,0,0,0.0,0.0
2,0,slow-worker,True,,aggregate-advisor,honest,0,96,0.15881716887625014,0.12134633726130212,0.15130260757769612,8.240875024077916,0.4290201599558712,0.08480103070031259,1.0,0.777402982798394,0.0,0.222597017201606,False,456,24,4510,0,0,0.0,0.0
3,0,order-bias,True,,aggregate-advisor,honest,0,96,0.2473477629006703,0.13606234045100465,0.16049368863242455,7.349572237882347,0.44127787881175323,0.11231955932040967,,0.78197544800117,0.0,0.2180245519988298,False,456,24,4510,0,0,0.0,0.0
4,0,timing-outliers,True,,covering-join,honest,0,94,0.17043067518503488,0.13748689651330268,0.17058828176593296,7.273420415764814,0.196469089002845,0.2770030114689203,,0.8724487661708543,0.0,0.12755123382914577,False,456,24,4450,0,0,0.0,0.0
5,0,candidate-measurement-bias,True,,aggregate-advisor,honest,0,96,0.19270259576456672,0.16005391465348065,0.20414187562435138,6.247894668274852,0.4518789047065435,0.19051171018111704,,0.8450016889157481,0.0,0.1549983110842518,False,456,24,4510,0,0,0.0,0.0
6,0,false-accept-claim,True,,aggregate-advisor,honest,0,96,0.1588171688762501,0.12134633726130212,0.15130260757769612,8.240875024077916,0.4290201599558712,0.08480103070031259,,0.777402982798394,0.0,0.222597017201606,False,456,24,4510,96,0,0.0,0.0
7,0,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,456,24,0,0,0,,
8,1,honest,True,,aggregate-advisor,honest,0,96,0.1554561987146258,0.09848154990922374,0.12366624982407466,10.154186250335815,0.5088502445991074,0.08800628920916144,,0.8194244028758418,0.0,0.1805755971241581,False,456,24,4510,0,0,0.0,0.0
9,1,fast-worker,True,,aggregate-advisor,honest,0,96,0.1554561987146258,0.09848154990922375,0.12366624982407469,10.154186250335814,0.5088502445991074,0.08800628920916147,1.0,0.819424402875842,0.0,0.18057559712415808,False,456,24,4510,0,0,0.0,0.0
10,1,slow-worker,True,,aggregate-advisor,honest,0,96,0.15545619871462577,0.09848154990922374,0.12366624982407462,10.154186250335815,0.5088502445991074,0.08800628920916147,1.0,0.8194244028758418,0.0,0.1805755971241581,False,456,24,4510,0,0,0.0,0.0
11,1,order-bias,True,,warm-specialist,honest,0,96,0.2469622364615378,0.10976172632439885,0.13720236040321665,9.110643878217783,0.5088502445991074,0.119989821561174,,0.8217460276459864,0.0,0.17825397235401358,False,456,24,4510,0,0,0.0,0.0
12,1,timing-outliers,True,,warm-specialist,honest,0,95,0.15680795332219374,0.09841107104378408,0.12229016789366295,10.16145835416312,0.5205479513715007,0.2634290447822945,,0.8184333338831467,0.0,0.18156666611685338,False,456,24,4510,0,0,0.0,0.0
13,1,candidate-measurement-bias,True,,aggregate-advisor,honest,0,96,0.29590375532122914,0.1432176359238077,0.18021812713582372,6.982380302185714,0.5393396296588095,0.2506509540323179,,0.8660458798874558,0.0,0.13395412011254415,False,456,24,4510,0,0,0.0,0.0
14,1,false-accept-claim,True,,aggregate-advisor,honest,0,96,0.1554561987146258,0.09848154990922374,0.12366624982407466,10.154186250335815,0.5088502445991074,0.08800628920916144,,0.8194244028758418,0.0,0.1805755971241581,False,456,24,4510,96,0,0.0,0.0
15,1,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,456,24,0,0,0,,
16,2,honest,True,,aggregate-advisor,honest,0,94,0.11711041956321465,0.08784996318136276,0.10616515584283846,11.383044042210237,0.7077112597297931,0.08128156064814092,,0.8443924295214554,0.0,0.15560757047854454,False,456,24,4510,0,0,0.0,0.0
17,2,fast-worker,True,,aggregate-advisor,honest,0,94,0.11711041956321468,0.08784996318136276,0.1061651558428385,11.383044042210237,0.7077112597297931,0.08128156064814095,1.0,0.8443924295214555,0.0,0.15560757047854448,False,456,24,4510,0,0,0.0,0.0
18,2,slow-worker,True,,aggregate-advisor,honest,0,94,0.11711041956321477,0.08784996318136278,0.10616515584283853,11.383044042210235,0.7077112597297931,0.08128156064814092,1.0,0.8443924295214554,0.0,0.1556075704785445,False,456,24,4510,0,0,0.0,0.0
19,2,order-bias,True,,warm-specialist,honest,0,94,0.1779033568554,0.09322750941426955,0.11339887346685676,10.726447657808377,0.6726181394126133,0.09742789815797709,,0.8537883633404463,0.0,0.1462116366595538,False,456,24,4510,0,0,0.0,0.0
20,2,timing-outliers,True,,warm-specialist,honest,0,95,0.14764159851311745,0.10774495596169507,0.12995129176728978,9.28117693375377,0.4596644570955763,0.2630473749352226,,0.9085164340191373,0.0,0.09148356598086267,False,456,24,4480,0,0,0.0,0.0
21,2,candidate-measurement-bias,True,,aggregate-advisor,honest,0,94,0.27043464039792453,0.11249481499406803,0.1423575477968994,8.889298587252497,0.6930593502290829,0.1850891233295799,,0.8958328695705108,0.0,0.1041671304294891,False,456,24,4510,0,0,0.0,0.0
22,2,false-accept-claim,True,,aggregate-advisor,honest,0,94,0.11711041956321465,0.08784996318136276,0.10616515584283846,11.383044042210237,0.7077112597297931,0.08128156064814092,,0.8443924295214554,0.0,0.15560757047854454,False,456,24,4510,94,0,0.0,0.0
23,2,all-fail,False,all_failed,,,0,0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,True,456,24,0,0,0,,
24,3,honest,True,,aggregate-advisor,honest,0,94,0.1463578925918871,0.08958906420452725,0.11156937477737332,11.162076631552386,0.6149425287356322,0.05331320735263412,,0.8375417826244136,0.0,0.16245821737558647,False,456,24,4520,0,0,0.0,0.0
25,3,fast-worker,True,,aggregate-advisor,honest,0,94,0.1463578925918871,0.08958906420452725,0.11156937477737332,11.162076631552386,0.6149425287356322,0.053313207352634125,1.0,0.8375417826244136,0.0,0.16245821737558644,False,456,24,4520,0,0,0.0,0.0
26,3,slow-worker,True,,aggregate-advisor,honest,0,94,0.1463578925918871,0.08958906420452725,0.11156937477737333,11.162076631552386,0.6149425287356322,0.053313207352634145,1.0,0.8375417826244135,0.0,0.16245821737558647,False,456,24,4520,0,0,0.0,0.0
